Term	POS1	POS2	POS3	POS4		Anger	Disgust	Fear	Happiness	Sadness	Surprise	Polarity1	Polarity2	Polarity3	Polarity4	Polarity_Avg	Emotion_Affected_Polarity	Normalized_Polarity
δέος	NOUN	NOUN	NOUN	NOUN		1.0	1.5	3.25	3.25	1.0	3.0	0.5	1	0.5	0.5	0.62	0.75	1.87
δέσιμο	NOUN	NOUN	NOUN	NOUN		2.0	1.0	1.0	3.0	1.0	3.0	0.5	0	1	0	0.38	0.63	1.61
δεσμώτης	NOUN	NOUN	NOUN	NOUN		1.75	1.75	2.75	1.0	2.25	1.5	-1	-1	-1	-1	-1.0	-1.57	-3.08
διαβεβαιώνω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
διάβολος	NOUN	NOUN	NOUN	NOUN		3.0	3.0	3.25	1.0	1.75	3.0	-1	-1	-1	-1	-1.0	-1.75	-3.47
διάθεση	NOUN	NOUN	NOUN	NOUN		1.0	1.5	1.0	2.25	1.25	1.75	0.5	1	0.5	1	0.75	0.81	1.99
διαισθάνομαι	VERB	VERB	VERB	VERB		1.0	1.0	2.67	1.33	1.67	2.0	-1	0	-1	-0.5	-0.62	-0.89	-1.63
διαίσθηση	NOUN	NOUN	NOUN	NOUN		1.0	1.0	2.33	1.33	1.67	2.0	-1	0	-1	-0.5	-0.62	-0.85	-1.55
διαισθητικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	2.5	1.0	1.5	2.0	-1	0	-1	0	-0.5	-0.8	-1.44
διαισθητικότητα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	2.5	1.0	1.5	2.0	-1	0	-1	0	-0.5	-0.8	-1.44
διακαής -ής -ές	ADJ	ADJ	ADJ	ADJ		1.5	1.0	1.25	1.25	1.5	1.5	-1	1	-1	1	0.0	-0.2	-0.16
διακατέχω	VERB	VERB	VERB	VERB		1.0	2.0	2.0	2.5	1.0	2.0	-1	0	-0.5	0	-0.38	-0.38	-0.54
διακονεύω	VERB	VERB	VERB	VERB		1.33	2.33	1.0	1.0	2.0	1.67	-1	0	-1	-1	-0.75	-1.13	-2.14
διακονιά	NOUN	NOUN	NOUN	NOUN		2.0	2.25	1.0	1.0	1.75	1.5	-1	-1	-1	-1	-1.0	-1.43	-2.78
διαμαντικό	NOUN	NOUN	NOUN	NOUN		1.33	1.67	1.0	1.33	1.0	2.33	-1	0	-1	1	-0.25	-0.37	-0.52
διανθίζω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	3.0	1.0	2.0	1	0	1	1	0.75	1.05	2.51
διαπνέω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	2.67	1.0	2.0	1	0	1	0.5	0.62	0.85	2.08
διασκεδάζω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	4.5	1.0	2.75	1	1	1	1	1.0	1.64	3.77
διασπείρω	VERB	VERB	VERB	VERB		1.67	2.33	2.67	1.67	1.33	2.0	-1	0	-0.5	-0.5	-0.5	-0.87	-1.59
διαστρέφω	VERB	VERB	VERB	VERB		2.33	3.0	1.0	1.0	1.0	1.67	-1	0	-1	-1	-0.75	-1.2	-2.29
διαστροφή	NOUN	NOUN	NOUN	NOUN		2.0	2.5	1.25	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
διατεθειμένος -η -ο	ADJ	ADJ	ADJ	PART		1.0	1.0	2.0	2.0	1.0	2.0	0	0	0	0	0.0	0.0	0.27
διαφημιστής	NOUN	NOUN	NOUN	NOUN		2.0	2.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-0.8	-1.44
διαφημιστικός	ADJ	ADJ	ADJ	ADJ		2.0	2.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-0.8	-1.44
διαχυτικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.75	1.0	2.5	1	1	1	1	1.0	1.48	3.42
διεγείρω	VERB	VERB	VERB	VERB		2.0	1.5	1.75	3.0	1.25	2.0	0	0	0	0	0.0	0.05	0.37
διέγερση	NOUN	NOUN	NOUN	NOUN		2.0	1.5	1.75	3.0	1.25	2.25	0	0	0	0	0.0	0.06	0.39
διεθνής	ADJ	ADJ	ADJ	ADJ		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
διερμηνεύω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
διευθυντήριο	NOUN	NOUN	NOUN	NOUN		1.5	2.0	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.73	-1.29
δικαιοσύνη	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
δικολάβος	NOUN	NOUN	NOUN	NOUN		1.67	3.0	1.33	1.0	1.0	1.67	-1	0	-1	-1	-0.75	-1.17	-2.23
διοπτροφόρος	ADJ	ADJ	ADJ	NOUN		1.5	3.0	1.0	1.0	1.5	2.0	-1	0	-1	0	-0.5	-0.9	-1.65
διοχετεύω	VERB	VERB	VERB	VERB		1.0	1.67	1.0	1.0	1.0	1.67	-1	0	-1	-0.5	-0.62	-0.8	-1.44
διπλάρωμα	NOUN	NOUN	NOUN	NOUN		1.75	2.5	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.34	-2.59
διπλαρώνω	VERB	VERB	VERB	VERB		1.75	2.75	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.36	-2.63
διπλωμάτης	ADJ	NOUN	NOUN	NOUN		1.5	2.0	1.0	1.0	1.0	3.0	-1	0	-1	0	-0.5	-0.7	-1.23
διπλωματικός	ADJ	ADJ	ADJ	ADJ		1.0	2.0	1.0	1.0	1.0	3.0	-1	0	0	0	-0.25	-0.4	-0.59
δίψα	NOUN	NOUN	NOUN	NOUN		1.25	2.0	1.0	2.5	1.5	1.75	0	0	0	0	0.0	0.01	0.29
διψαλέος	ADJ	ADJ	ADJ	ADJ		1.75	2.5	1.0	2.0	1.5	1.75	-1	-0.5	-1	-0.5	-0.75	-0.94	-1.74
διψώ	VERB	VERB	VERB	VERB		1.25	2.0	1.0	2.5	1.5	1.75	0	0	0	0	0.0	0.01	0.29
δόγμα	NOUN	NOUN	NOUN	NOUN		2.0	2.5	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.83	-1.5
δογματικός	ADJ	ADJ	ADJ	ADJ		2.0	3.0	1.5	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.93	-1.72
δοκησισοφία	NOUN	NOUN	NOUN	NOUN		2.25	3.25	1.25	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.49	-2.91
δοκησίσοφος	ADJ	ADJ	ADJ	NOUN		2.25	3.25	1.25	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.49	-2.91
δοκιμάζω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
δόλιος	ADJ	ADJ	ADJ	ADJ		2.25	2.5	2.0	1.25	1.0	1.75	-1	1	-1	-1	-0.5	-0.94	-1.74
δονκιχοτικός	ADJ	ADJ	ADJ	ADJ		2.33	2.67	1.33	1.0	1.0	2.0	-1	0	-1	-1	-0.75	-1.18	-2.25
δονκιχοτισμός	NOUN	NOUN	NOUN	NOUN		2.33	2.67	1.33	1.0	1.0	2.0	-1	0	-1	-1	-0.75	-1.18	-2.25
δονκιχωτικός	ADJ	ADJ	ADJ	ADJ		2.33	2.67	1.33	1.0	1.0	2.0	-1	0	-1	-1	-0.75	-1.18	-2.25
δορυφόρος	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-0.9	-1.65
δοσοληψία	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.88	-1.61
δοτός	NOUN	ADJ	ADJ	ADJ		2.0	3.0	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.88	-1.61
δούλα	NOUN	NOUN	NOUN	NOUN		3.33	3.67	1.0	1.0	1.33	2.33	-1	0	-1	-1	-0.75	-1.37	-2.66
δουλάκι	NOUN	NOUN	NOUN	NOUN		2.75	3.25	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.51	-2.95
δουλί	NOUN	NOUN	NOUN	NOUN		3.0	3.25	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.54	-3.02
δουλικό	NOUN	NOUN	NOUN	NOUN		2.75	3.25	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.51	-2.95
δούλος	NOUN	NOUN	NOUN	NOUN		2.67	3.67	1.0	1.0	1.33	2.0	-1	0	-1	-1	-0.75	-1.32	-2.55
δραπετεύω	VERB	VERB	VERB	VERB		1.0	2.5	2.5	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.88	-1.61
δράστης	NOUN	NOUN	NOUN	NOUN		2.5	2.5	3.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-1.1	-2.08
δροσερός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.0	1.0	2.0	1	1	1	1	1.0	1.3	3.04
δροσίζω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	3.33	1.0	2.33	1	0	1	1	0.75	1.13	2.68
δροσιστικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.33	1.0	2.33	1	0	1	1	0.75	1.13	2.68
δυνατός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.33	2.0	1.0	3.0	1	0	1	1	0.75	0.87	2.12
δυσαισθησία	NOUN	NOUN	NOUN	NOUN		1.0	1.67	1.0	1.0	2.0	1.67	-1	0	-1	-1	-0.75	-1.03	-1.93
δυσαρέσκεια	NOUN	NOUN	NOUN	NOUN		1.75	3.0	1.25	1.0	2.75	2.0	-1	-1	-1	-1	-1.0	-1.58	-3.1
δυσθυμία	NOUN	NOUN	NOUN	NOUN		1.5	3.0	1.25	1.0	3.25	1.5	-1	-1	-1	-1	-1.0	-1.62	-3.19
δύσπεπτος	ADJ	ADJ	ADJ	ADJ		1.33	3.0	1.0	1.0	1.33	1.33	-1	0	-1	-1	-0.75	-1.15	-2.19
δυσφορία	NOUN	NOUN	NOUN	NOUN		1.5	3.0	1.25	1.0	3.0	1.5	-1	-1	-1	-1	-1.0	-1.6	-3.15
δυσφορώ	VERB	VERB	VERB	VERB		1.75	3.0	1.25	1.0	3.0	1.25	-1	-1	-1	-1	-1.0	-1.64	-3.23
δώμα	NOUN	NOUN	NOUN	NOUN		1.0	2.5	1.0	1.0	2.0	2.0	-1	0	-1	0	-0.5	-0.85	-1.55
ε	INTJ	INTJ	INTJ	INTJ		3.0	2.5	1.75	1.75	1.75	3.5	-1	-0.5	-1	-0.5	-0.75	-1.12	-2.12
εβραϊκός	ADJ	ADJ	ADJ	ADJ		2.67	2.67	2.0	1.0	1.0	1.67	-1	0	-1	-1	-0.75	-1.3	-2.51
εβραίος	NOUN	NOUN	NOUN	NOUN		2.67	2.67	2.33	1.0	1.0	1.67	-1	0	-1	-1	-0.75	-1.33	-2.57
εγκάρδιος -α -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.0	1.0	2.75	1	1	1	1	1.0	1.54	3.55
εγκεφαλικός -ή -ό	ADJ	ADJ	ADJ	ADJ		2.5	2.5	1.5	1.0	1.5	3.0	-1	0	-1	0	-0.5	-0.95	-1.76
εγκέφαλος	NOUN	NOUN	NOUN	NOUN		2.0	2.5	2.5	1.5	1.0	3.0	-1	0	-0.5	0	-0.38	-0.73	-1.29
εγώ	PRON	PRON	PRON	PRON		1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0.0	-0.15	-0.05
εγωίσταρος	ADJ	NOUN	NOUN	NOUN		3.0	3.25	1.25	1.0	1.0	2.25	-1	-0.5	-1	-1	-0.88	-1.42	-2.76
εγωιστής	ADJ	NOUN	NOUN	NOUN		2.67	3.33	1.33	1.0	1.0	2.0	-1	0	-1	-1	-0.75	-1.28	-2.46
έδαφος	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
εδέησα	VERB	VERB	VERB	VERB		2.25	1.75	1.0	1.0	1.0	3.25	-1	-0.5	-1	-0.5	-0.75	-0.99	-1.85
εδώ	ADV	ADV	ADV	ADV		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
εθελοντής	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.0	1.0	3.0	1	0	0	0	0.25	0.6	1.55
εθελοντικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.0	1.0	3.0	1	0	0	0	0.25	0.6	1.55
εθνοσωτήρας	NOUN	NOUN	NOUN	NOUN		2.33	3.33	1.0	1.67	1.0	2.0	0	0	0	0	0.0	-0.33	-0.44
ειδεχθής -ής -ές	ADJ	ADJ	ADJ	ADJ		2.5	4.5	1.5	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.64	-3.23
ειδοποιώ	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
ειδύλλιο	NOUN	NOUN	NOUN	NOUN		1.0	2.33	1.0	2.67	1.0	2.0	1	1	-1	0	0.25	0.35	1.01
ειλικρίνεια	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.33	1.0	3.33	1	0	1	1	0.75	1.18	2.78
ειλικρινής -ής -ές	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	2.67	1.0	3.0	1	0	1	1	0.75	1.03	2.46
είρωνας	NOUN	NOUN	NOUN	NOUN		2.0	3.0	1.0	1.33	1.33	2.33	-1	0	-1	-0.5	-0.62	-0.97	-1.8
ειρωνεία	NOUN	NOUN	NOUN	NOUN		2.33	3.0	1.0	1.0	1.33	2.33	-1	0	-1	-1	-0.75	-1.2	-2.29
ειρωνεύομαι	VERB	VERB	VERB	VERB		2.33	3.0	1.0	1.0	1.33	2.33	-1	0	-1	-1	-0.75	-1.2	-2.29
εκατοχρονίτικος	ADJ	ADJ	ADJ	ADJ		1.67	2.67	1.0	1.0	1.0	2.67	-1	0	-1	-1	-0.75	-1.05	-1.97
εκδηλώνω	VERB	VERB	VERB	VERB		1.67	2.33	2.33	3.0	1.67	2.67	0	0	0	0	0.0	-0.07	0.12
εκδηλωτικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.33	1.33	3.0	1.0	2.67	1	0	1	1	0.75	1.02	2.44
εκδράμω	VERB	VERB	VERB	VERB		1.0	1.67	1.0	3.0	1.0	2.67	1	1	-1	0	0.25	0.52	1.38
εκεί	ADV	ADV	ADV	ADV		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
έκθαμβος	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.75	1.0	5.0	1	1	1	1	1.0	1.6	3.68
εκκολάπτω	VERB	VERB	VERB	VERB		2.0	2.5	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.83	-1.5
εκλεκτός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	2.5	1.0	2.0	1	1	1	1	1.0	1.2	2.83
εκλιπών -ούσα -όν	ADJ	ADJ	ADJ	ADJ		1.0	1.33	1.33	1.0	4.33	1.67	-1	0	-1	-1	-0.75	-1.27	-2.44
εκλογικεύω	VERB	VERB	VERB	VERB		1.0	2.0	2.0	2.0	1.0	1.0	0	0	0	0	0.0	-0.15	-0.05
εκμυστηρεύομαι	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
έκπληκτος -η -ο	ADJ	ADJ	ADJ	ADJ		1.25	1.25	2.25	2.25	1.75	5.0	0	0	0	0	0.0	0.05	0.37
έκπληξη	NOUN	NOUN	NOUN	NOUN		1.25	1.25	1.75	2.5	1.5	5.0	0.5	0.5	1	0.5	0.62	0.79	1.95
εκπλήσσω	VERB	VERB	VERB	VERB		1.25	1.25	1.75	2.5	1.5	5.0	0.5	0.5	1	0.5	0.62	0.79	1.95
εκρήγνυμαι	VERB	VERB	VERB	VERB		4.75	2.25	1.75	1.5	1.25	3.5	-1	-1	-1	-1	-1.0	-1.52	-2.98
έκρηξη	NOUN	NOUN	NOUN	NOUN		4.75	2.25	1.75	1.5	1.25	3.5	-1	-1	-1	-1	-1.0	-1.52	-2.98
εκτεθειμένος -η -ο	PART	PART	PART	PART		1.75	2.0	2.75	1.0	1.5	2.25	-1	-1	-1	-1	-1.0	-1.49	-2.91
εκτελώ	VERB	VERB	VERB	VERB		2.67	2.0	2.33	1.0	1.33	1.67	-1	-1	-1	0	-0.75	-1.3	-2.51
εκτονώνω	VERB	VERB	VERB	VERB		3.0	1.67	2.0	1.0	1.33	1.67	-1	0	-1	-0.5	-0.62	-1.14	-2.17
εκφράζω	VERB	VERB	VERB	VERB		2.0	2.0	2.0	3.0	2.33	2.67	0	0	0	0	0.0	-0.1	0.05
έκφραση	NOUN	NOUN	NOUN	NOUN		2.0	2.0	2.0	3.0	2.33	2.67	0	0	0	0	0.0	-0.1	0.05
εκφραστικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.0	1.0	2.33	0.5	0	1	1	0.62	0.94	2.27
ελεγεία	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.33	2.0	2.0	2.33	1	0	1	-1	0.25	0.23	0.76
ελεημοσύνη	NOUN	NOUN	NOUN	NOUN		1.5	2.25	1.5	1.0	1.75	1.5	-1	-0.5	-1	-1	-0.88	-1.3	-2.51
έλεος	NOUN	NOUN	NOUN	NOUN		3.0	3.25	1.5	1.0	1.75	2.75	-1	-0.5	-1	-1	-0.88	-1.49	-2.91
ελέφαντας	NOUN	NOUN	NOUN	NOUN		3.0	3.0	1.5	1.0	1.0	3.5	-0.5	0	-1	0	-0.38	-0.85	-1.55
ελεώ	VERB	VERB	VERB	VERB		1.0	2.0	1.33	1.0	1.0	2.0	-1	-0.5	-1	0	-0.62	-0.85	-1.55
ελίτ	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.0	1.0	1.0	2.33	-1	0	-1	1	-0.25	-0.43	-0.65
εμβρόντητος -η -ο	ADJ	ADJ	ADJ	ADJ		2.25	2.0	1.75	1.5	2.0	5.0	-1	-0.5	-1	-0.5	-0.75	-1.0	-1.87
εμετικός -ή -ό	ADJ	ADJ	ADJ	ADJ		3.25	4.5	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.69	-3.34
εμετολογία	NOUN	NOUN	NOUN	NOUN		3.25	4.5	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.69	-3.34
εμετός	NOUN	NOUN	NOUN	NOUN		3.25	4.5	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.69	-3.34
εμπάθεια	ADJ	NOUN	NOUN	NOUN		4.0	3.0	1.25	1.0	1.0	1.5	-1	-1	-1	-1	-1.0	-1.65	-3.25
εμπαθής -ής -ές	ADJ	ADJ	ADJ	ADJ		3.5	3.25	1.25	1.0	1.0	1.5	-1	-1	-1	-1	-1.0	-1.62	-3.19
εμπιστοσύνη	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	2.75	1.0	2.0	1	1	1	1	1.0	1.25	2.93
έμπλεος -ος -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.67	4.33	1.0	3.0	0.5	0	1	1	0.62	1.17	2.76
εμπνέω	VERB	VERB	VERB	VERB		1.0	1.0	1.5	4.0	1.0	4.0	1	0	1	0	0.5	1.05	2.51
εμποτίζω	VERB	VERB	VERB	VERB		1.33	1.0	1.33	2.33	1.0	2.67	1	0	1	0.5	0.62	0.75	1.87
εμφορούμαι	VERB	VERB	VERB	VERB		1.0	1.0	1.0	3.0	1.0	2.33	1	0	1	0.5	0.62	0.94	2.27
εμφυσώ	VERB	VERB	VERB	VERB		1.0	1.0	1.0	3.0	1.0	3.0	1	0	1	0	0.5	0.85	2.08
ενάργεια	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	2.67	1.0	2.67	1	0	1	1	0.75	1.02	2.44
ενδοστρέφεια	NOUN	NOUN	NOUN	NOUN		1.5	1.5	1.5	1.0	1.25	1.5	-1	-0.5	-1	-1	-0.88	-1.18	-2.25
ενδότατος -η -ο	NOUN	ADJ	ADJ	ADJ		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
ένθερμος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.33	1.0	2.67	1	0	1	1	0.75	1.15	2.72
ενθουσιασμός	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	4.75	1.0	3.0	1	1	1	1	1.0	1.7	3.89
ενθυλακώνω	VERB	VERB	VERB	VERB		2.0	2.33	1.0	1.0	1.0	1.67	-1	0	-1	-1	-0.75	-1.1	-2.08
ενίοτε	ADV	ADV	ADV	ADV		1.0	1.0	1.0	1.0	1.0	2.0	0	0	-1	0	-0.25	-0.35	-0.48
ενοχή	NOUN	NOUN	NOUN	NOUN		1.5	2.25	1.5	1.0	1.75	1.75	-1	-1	-1	-1	-1.0	-1.41	-2.74
ενόχλημα	NOUN	NOUN	NOUN	NOUN		1.5	2.75	1.25	1.0	1.75	1.0	-1	-1	-1	-1	-1.0	-1.48	-2.89
ενόχληση	NOUN	NOUN	NOUN	NOUN		1.5	2.75	1.25	1.0	1.75	1.25	-1	-1	-1	-1	-1.0	-1.46	-2.85
ενοχλώ	VERB	VERB	VERB	VERB		1.75	2.75	1.25	1.0	1.75	1.25	-1	-1	-1	-1	-1.0	-1.49	-2.91
ενσπείρω	VERB	VERB	VERB	VERB		2.0	2.0	1.0	1.0	1.0	1.5	-1	0	-1	0	-0.5	-0.82	-1.48
ενσταλάζω	VERB	VERB	VERB	VERB		2.0	2.0	1.0	2.0	1.0	1.0	0	0	0	0	0.0	-0.15	-0.05
ενσυναίσθημα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.0	1.0	2.33	1	0	1	0.5	0.62	0.94	2.27
ένταση	NOUN	NOUN	NOUN	NOUN		3.25	1.5	1.5	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
έντιμος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.33	1.0	3.0	1	0	1	1	0.75	1.17	2.76
έντονος -η -ο	ADJ	ADJ	ADJ	ADJ		2.67	2.0	2.0	1.67	1.67	2.0	-1	0	-1	-0.5	-0.62	-1.02	-1.91
εντύπωση	NOUN	NOUN	NOUN	NOUN		1.0	1.33	1.33	2.67	1.33	4.0	0	0	0	0	0.0	0.24	0.78
εξάλειψη	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.58	-0.97
έξαλλος -η -ο	ADJ	ADJ	ADJ	ADJ		4.5	2.5	1.75	2.0	1.5	3.25	-1	-0.5	-1	-1	-0.88	-1.34	-2.59
εξαργυρώνω	VERB	VERB	VERB	VERB		1.0	2.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-0.7	-1.23
έξαρση	NOUN	NOUN	NOUN	NOUN		2.67	2.0	1.67	1.0	1.0	3.33	-1	0	-1	-0.5	-0.62	-0.99	-1.85
εξάρτηση	NOUN	NOUN	NOUN	NOUN		1.67	2.0	1.0	1.0	1.33	1.67	-1	-1	-1	0	-0.75	-1.07	-2.02
έξαψη	NOUN	NOUN	NOUN	NOUN		2.75	1.5	1.5	2.0	1.0	2.25	-1	-0.5	-1	1	-0.38	-0.54	-0.89
εξετάζω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
εξηνταβελόνης	ADJ	NOUN	NOUN	NOUN		1.5	3.25	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
εξουθενώνω	VERB	VERB	VERB	VERB		1.5	2.25	1.25	1.0	1.25	2.0	-1	-1	-1	-1	-1.0	-1.32	-2.55
εξυπνάκιας	ADJ	NOUN	NOUN	NOUN		1.75	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.38	-2.68
εξυπνάκιας	ADJ	NOUN	NOUN	NOUN		1.67	3.0	1.0	1.0	1.0	1.67	0	-1	-1	-1	-0.75	-1.13	-2.14
εξυπνακίστικος	ADJ	ADJ	ADJ	ADJ		2.25	3.0	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
έξυπνος	ADJ	ADJ	ADJ	ADJ		2.33	2.33	1.0	1.33	1.0	2.67	0.5	0	0.5	1	0.5	0.23	0.76
εξυπνούλης	ADJ	ADJ	NOUN	ADJ		2.33	2.67	1.0	1.0	1.0	2.33	-1	0	-1	-0.5	-0.62	-1.0	-1.87
εξυπνούλικα	ADJ	ADV	ADJ	ADJ		2.33	2.67	1.0	1.0	1.0	2.33	-1	0	-1	-0.5	-0.62	-1.0	-1.87
εξυπνούτσικος	ADJ	ADJ	ADJ	ADJ		2.33	2.33	1.0	1.0	1.0	2.33	-1	0	-1	-0.5	-0.62	-0.97	-1.8
έξω	ADV	ADV	ADV	ADV		4.0	4.0	2.0	1.0	1.0	2.0	0	0	0	-1	-0.25	-1.05	-1.97
εξωστρέφεια	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	2.67	1.0	2.67	1	0	1	0.5	0.62	0.89	2.17
εξωτερίκευση	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	2.67	1.0	2.33	1	0	1	0.5	0.62	0.87	2.12
εξωτερικεύω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	2.67	1.0	2.33	1	0	1	0.5	0.62	0.87	2.12
επαγγελματίας	ADJ	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.0	1.0	4.0	1	0	1	0	0.5	0.9	2.19
επάλληλος -η -ο	ADJ	ADJ	ADJ	ADJ		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
επεισοδιακός -ή -ό	ADJ	ADJ	ADJ	ADJ		2.33	1.33	2.0	1.0	1.67	3.33	-1	0	-1	-1	-0.75	-1.12	-2.12
επηρεάζω	VERB	VERB	VERB	VERB		1.67	1.67	1.0	1.0	1.33	2.0	-1	0	-1	-0.5	-0.62	-0.89	-1.63
επιβήτορας	ADJ	NOUN	NOUN	NOUN		3.0	3.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-1.0	-1.87
επίγνωση	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.5	1.0	3.5	1	0	1	0	0.5	0.98	2.36
επιδερμικός -ή -ό	ADJ	ADJ	ADJ	ADJ		2.0	3.0	1.0	1.0	1.0	2.5	-1	0	-1	0	-0.5	-0.88	-1.61
επιδρομέας	NOUN	NOUN	NOUN	NOUN		2.5	1.5	3.0	1.0	1.0	3.0	-1	0	-1	0	-0.5	-0.95	-1.76
επιδρώ	VERB	VERB	VERB	VERB		1.67	1.67	1.33	1.33	1.67	1.67	0	0	0	0	0.0	-0.28	-0.33
επιθετικότητα	NOUN	NOUN	NOUN	NOUN		3.0	1.5	2.5	1.0	1.25	2.25	-1	-1	-1	-1	-1.0	-1.51	-2.95
